Model,Type,R1-Prec,R1-Rec,R1-F1,R2-F1,RL-F1
Lead-3,Extractive,0.227154,0.46839620000000004,0.29472000000000004,0.1121084,0.1995949
TextRank,Extractive,0.20545550000000004,0.44982510000000003,0.27207680000000006,0.0932255,0.18384050000000002
LSA,Extractive,0.17973270000000002,0.25669990000000004,0.19973090000000002,0.0450495,0.1355861
LexRank,Extractive,0.2149331,0.42288380000000003,0.2742017,0.0880172,0.1827903
PEGASUS,Abstractive,0.34323,0.352707,0.33819050000000006,0.1436715,0.254182
BART,Abstractive,0.34445950000000003,0.38309250000000006,0.35365899999999995,0.154807,0.2669035
